year,state,state_po,candidate,party,candidatevotes,totalvotes
1976,Alabama,AL,"Carter, Jimmy",democrat,659170,1182850
1976,Alabama,AL,"Ford, Gerald",republican,504070,1182850
1976,Alabama,AL,"Maddox, Lester",american independent party,9198,1182850
1976,Alabama,AL,"Bubar, Benjamin """"Ben""""",prohibition,6669,1182850
1976,Alabama,AL,"Hall, Gus",communist party use,1954,1182850
1976,Alabama,AL,"Macbride, Roger",libertarian,1481,1182850
1976,Alabama,AL,,,308,1182850
1976,Alaska,AK,"Ford, Gerald",republican,71555,123574
1976,Alaska,AK,"Carter, Jimmy",democrat,44058,123574
1976,Alaska,AK,"Macbride, Roger",libertarian,6785,123574
1976,Alaska,AK,,,1176,123574
1976,Arizona,AZ,"Ford, Gerald",republican,418642,742719
1976,Arizona,AZ,"Carter, Jimmy",democrat,295602,742719
1976,Arizona,AZ,"McCarthy, Eugene """"Gene""""",independent,19229,742719
1976,Arizona,AZ,"Macbride, Roger",libertarian,7647,742719
1976,Arizona,AZ,"Camejo, Peter",socialist workers,928,742719
1976,Arizona,AZ,"Anderson, Thomas J.",american,564,742719
1976,Arizona,AZ,"Maddox, Lester",american independent party,85,742719
1976,Arizona,AZ,,,22,742719
1976,Arkansas,AR,"Carter, Jimmy",democrat,498604,767535
1976,Arkansas,AR,"Ford, Gerald",republican,267903,767535
1976,Arkansas,AR,,independent,639,767535
1976,Arkansas,AR,"Maddox, Lester",american independent party,389,767535
1976,California,CA,"Ford, Gerald",republican,3882244,7803770
1976,California,CA,"Carter, Jimmy",democrat,3742284,7803770
1976,California,CA,"Macbride, Roger",independent,56388,7803770
1976,California,CA,"Maddox, Lester",american independent party,51098,7803770
1976,California,CA,"Wright, Margaret",peace & freedom,41731,7803770
1976,California,CA,"Camejo, Peter",independent,17259,7803770
1976,California,CA,"Hall, Gus",independent,12766,7803770
1976,Colorado,CO,"Ford, Gerald",republican,584278,1081440
1976,Colorado,CO,"Carter, Jimmy",democrat,460801,1081440
1976,Colorado,CO,"McCarthy, Eugene """"Gene""""",independent,26047,1081440
1976,Colorado,CO,"Macbride, Roger",libertarian,5338,1081440
1976,Colorado,CO,"Bubar, Benjamin """"Ben""""",prohibition,2886,1081440
1976,Colorado,CO,"Camejo, Peter",socialist workers,1122,1081440
1976,Colorado,CO,"Larouche, Lyndon, Jr.",u.s. labor,565,1081440
1976,Colorado,CO,"Hall, Gus",communist party use,403,1081440
1976,Connecticut,CT,"Ford, Gerald",republican,719261,1386355
1976,Connecticut,CT,"Carter, Jimmy",democrat,647895,1386355
1976,Connecticut,CT,Scattering,,10309,1386355
1976,Connecticut,CT,"Maddox, Lester",american independent party,7101,1386355
1976,Connecticut,CT,"Larouche, Lyndon, Jr.",u.s. labor,1789,1386355
1976,Delaware,DE,"Carter, Jimmy",democrat,122461,235642
1976,Delaware,DE,"Ford, Gerald",republican,109780,235642
1976,Delaware,DE,,no party affiliation,2432,235642
1976,Delaware,DE,"Anderson, Thomas J.",american,645,235642
1976,Delaware,DE,"Larouche, Lyndon, Jr.",u.s. labor,135,235642
1976,Delaware,DE,"Bubar, Benjamin """"Ben""""",prohibition,103,235642
1976,Delaware,DE,,socialist labor,86,235642
1976,District of Columbia,DC,"Carter, Jimmy",democrat,137818,168830
1976,District of Columbia,DC,"Ford, Gerald",republican,27873,168830
1976,District of Columbia,DC,Other,,1656,168830
